,HomePlanet,CryoSleep,Destination,Age,Travel company,VIP,RoomService,FoodCourt,Travel Outcome,Cols,P_S
41,1,1,0,17.0,0,0,0.0,0.0,0,3,0
42,0,0,0,45.0,0,0,0.0,164.0,1,0,0
43,1,1,0,55.0,1,0,0.0,0.0,0,3,0
44,1,1,2,4.0,0,0,0.0,0.0,0,3,0
45,1,1,1,21.0,0,0,0.0,0.0,1,3,0
46,2,0,0,21.0,1,0,970.0,0.0,0,1,0
47,2,1,0,19.0,1,0,0.0,0.0,1,1,0
48,1,0,2,35.0,0,0,790.0,0.0,1,4,1
49,1,0,0,56.0,0,0,0.0,112.0,1,4,1
50,1,0,0,28.82793046746535,0,0,4.0,0.0,1,3,1
51,1,0,0,25.0,1,0,0.0,0.0,0,1,1
52,0,0,0,2.0,0,0,0.0,0.0,1,2,1
53,0,1,0,38.0,0,0,0.0,0.0,1,2,1
54,0,0,0,27.0,0,0,279.0,605.0,0,2,1
55,1,1,1,36.0,1,0,0.0,0.0,0,3,1
56,1,0,0,22.0,1,0,45.0,1096.0,1,1,1
57,1,0,0,62.0,1,0,0.0,592.0,1,1,1
58,2,1,0,15.0,1,0,0.0,0.0,1,1,1
59,1,1,0,33.0,1,0,0.0,0.0,0,4,1
60,1,0,0,62.0,0,0,1.0,153.0,1,3,0
61,1,1,1,0.0,0,0,0.0,0.0,0,3,1
62,1,0,0,18.0,0,0,1.0,258.0,1,3,1
63,1,0,2,21.0,1,0,1946.0,37.0,1,1,1
64,2,0,0,28.82793046746535,0,0,793.0,0.0,0,4,1
65,1,0,0,42.0,1,0,887.0,0.0,1,1,1
66,1,0,0,19.0,0,0,190.0,0.0,1,1,0
67,1,0,0,17.0,0,0,16.0,2165.0,0,1,0
68,1,0,0,14.0,0,0,0.0,1.0,0,1,1
69,2,0,1,37.0,1,0,46.0,83.0,1,5,0
70,0,0,0,42.0,1,0,1.0,8397.0,1,6,1
71,2,0,0,27.0,1,0,147.0,0.0,1,1,1
72,2,0,0,28.0,1,0,14.0,0.0,0,1,0
73,0,0,0,38.0,0,0,0.0,5840.0,1,6,1
74,1,1,0,13.0,0,0,0.0,0.0,1,3,1
75,2,0,0,42.0,0,0,7406.0,0.0,0,1,0
76,2,1,0,2.0,1,0,0.0,0.0,1,1,0
77,2,0,0,8.0,1,0,0.0,0.0,1,1,0
78,1,0,0,24.0,0,0,688.0,0.0,1,3,1
79,0,1,0,40.0,1,0,0.0,0.0,0,6,1
80,1,0,0,43.0,0,0,211.0,0.0,0,1,0
81,2,1,1,45.0,1,0,0.0,0.0,1,4,1
82,1,1,0,35.0,1,0,0.0,0.0,1,3,1
83,1,1,0,26.0,0,0,224.687617481203,0.0,0,3,1
84,1,0,0,27.0,1,0,1.0,697.0,0,1,1
85,1,0,0,19.0,1,0,0.0,0.0,1,3,0
86,1,1,0,0.0,1,0,0.0,0.0,0,3,0
87,1,1,0,3.0,0,0,0.0,0.0,1,3,0
88,0,0,0,54.0,1,0,0.0,1208.0,1,2,1
89,1,0,0,26.0,0,0,0.0,856.0,1,3,0
90,1,0,0,26.0,1,0,0.0,2811.0,1,3,0
91,1,0,1,23.0,1,0,311.0,427.0,1,1,0
92,1,0,0,2.0,0,0,0.0,0.0,1,3,0
93,2,1,0,31.0,1,0,0.0,0.0,1,1,1
94,1,0,0,18.0,1,0,0.0,0.0,1,1,1
95,1,0,0,24.0,1,0,0.0,458.07720329024676,1,1,1
96,1,1,2,9.0,0,0,0.0,0.0,0,3,1
97,1,1,0,6.0,0,0,0.0,0.0,1,3,1
98,1,0,0,27.0,0,0,0.0,0.0,1,1,0
99,2,0,0,21.0,1,0,1743.0,5.0,1,5,1
100,1,1,0,23.0,1,0,0.0,0.0,1,3,1
101,1,0,0,31.0,0,0,562.0,0.0,1,3,1
102,1,0,0,0.0,0,0,0.0,0.0,1,3,1
103,0,0,0,32.0,1,0,0.0,410.0,0,1,1
104,0,0,0,40.0,1,0,0.0,331.0,0,0,0
105,0,0,0,42.0,0,0,2209.0,11418.0,1,0,0
106,0,1,0,28.0,1,0,0.0,0.0,1,0,0
107,0,1,0,29.0,0,0,0.0,0.0,1,4,1
108,0,0,2,48.0,1,1,0.0,2537.0,1,0,1
109,1,0,0,64.0,1,0,0.0,0.0,0,1,0
110,1,0,0,27.0,1,0,82.0,157.0,1,3,1
111,2,0,0,26.0,1,0,0.0,0.0,1,1,0
112,0,0,0,33.0,0,0,1.0,2223.0,1,5,0
113,1,0,0,39.0,1,0,0.0,2344.0,1,2,0
114,0,1,0,13.0,0,0,0.0,0.0,1,2,0
115,2,1,0,24.0,1,0,0.0,0.0,1,1,0
116,1,0,0,29.0,0,0,0.0,0.0,1,3,1
117,1,0,0,18.0,1,0,55.0,597.0,0,1,0
118,2,1,0,67.0,0,0,0.0,0.0,1,1,1
119,2,0,0,35.0,0,0,701.0,0.0,1,4,1
120,2,0,0,61.0,0,1,2353.0,334.0,1,5,1
121,2,0,0,45.0,0,0,2103.0,6.0,0,4,1
122,1,1,1,22.0,1,0,0.0,0.0,1,3,1
123,2,1,0,19.0,0,0,0.0,0.0,1,1,1
124,2,0,0,36.0,1,0,2738.0,0.0,1,5,1
125,1,0,0,19.0,1,0,0.0,14.0,1,3,0
126,1,0,1,47.0,1,0,97.0,418.0,1,3,1
127,1,1,0,13.0,1,0,0.0,0.0,1,3,0
128,1,0,0,34.0,1,0,0.0,22.0,0,4,0
129,0,1,2,35.0,1,0,0.0,0.0,0,6,1
130,1,1,0,24.0,0,0,0.0,0.0,1,3,0
131,1,0,0,26.0,1,0,440.0,0.0,1,1,0
132,2,0,0,31.0,1,0,224.687617481203,0.0,0,1,0
133,1,0,0,20.0,0,0,0.0,420.0,1,1,1
134,1,0,0,56.0,0,0,0.0,0.0,1,3,1
135,1,1,0,50.0,1,0,0.0,0.0,1,3,1
136,2,0,0,42.0,1,0,1072.0,0.0,0,1,0
137,1,1,2,28.82793046746535,0,0,0.0,0.0,1,3,1
138,1,1,2,38.0,0,0,0.0,0.0,0,3,0
139,1,0,0,41.0,0,0,0.0,0.0,1,1,0
140,1,0,0,22.0,1,0,4119.0,0.0,0,3,0
141,0,1,0,26.0,1,0,0.0,0.0,1,0,0
142,0,1,0,17.0,1,0,0.0,0.0,1,0,0
143,1,0,0,57.0,0,0,50.0,1688.0,0,3,1
144,1,1,1,17.0,1,0,0.0,0.0,1,3,1
145,2,1,0,35.0,1,0,0.0,0.0,1,1,0
146,2,1,0,13.0,1,0,0.0,0.0,0,1,1
147,2,0,0,27.0,0,0,1365.0,0.0,1,1,1
148,1,1,0,31.0,1,0,0.0,0.0,1,3,0
149,1,0,0,24.0,1,0,0.0,0.0,0,4,1
150,1,1,1,19.0,0,0,0.0,0.0,1,3,1
151,1,1,0,32.0,1,0,0.0,0.0,1,3,0
152,1,0,0,58.0,1,0,0.0,985.0,1,4,1
153,1,0,2,21.0,0,0,287.0,0.0,1,1,0
154,0,0,0,38.0,1,0,0.0,10346.0,1,0,1
155,2,0,0,38.0,0,0,3414.0,0.0,0,5,1
156,1,0,0,19.0,1,0,1.0,219.0,0,3,0
157,1,0,0,0.0,1,0,0.0,0.0,1,3,0
158,1,0,0,3.0,0,0,0.0,0.0,1,3,0
159,1,0,0,20.0,1,0,0.0,0.0,0,3,0
160,0,1,0,24.0,1,0,0.0,0.0,1,6,0
161,1,0,0,37.0,0,0,17.0,146.0,0,1,1
162,1,0,0,25.0,1,0,62.0,0.0,0,3,0
163,1,1,0,56.0,1,0,0.0,0.0,1,3,1
164,1,0,2,49.0,0,0,84.0,3.0,1,4,0
165,1,1,2,11.0,1,0,0.0,0.0,1,3,1
166,1,1,0,1.0,0,0,0.0,0.0,0,3,0
167,1,0,0,8.0,1,0,0.0,0.0,1,3,0
168,1,0,0,39.0,0,0,0.0,0.0,1,3,0
169,2,1,0,2.0,1,0,0.0,0.0,0,1,0
170,2,0,0,23.0,0,0,224.687617481203,0.0,1,1,0
171,2,0,0,0.0,1,0,0.0,0.0,0,1,0
172,2,0,0,39.0,1,0,406.0,0.0,1,1,0
173,2,0,1,25.0,1,0,1052.0,0.0,1,5,0
174,0,0,0,36.0,1,0,0.0,972.0,0,6,0
175,1,0,1,52.0,0,0,0.0,0.0,0,3,0
176,1,1,0,18.0,1,0,0.0,0.0,1,3,1
177,1,1,0,15.0,1,0,0.0,0.0,1,3,0
178,0,1,0,35.0,0,0,0.0,0.0,0,0,1
179,0,1,0,47.0,0,0,0.0,0.0,1,0,1
180,0,1,2,45.0,1,0,0.0,0.0,1,0,0
181,0,0,2,28.82793046746535,1,0,0.0,2433.0,0,2,0
182,0,1,0,51.0,0,0,0.0,0.0,0,6,1
183,1,0,0,29.0,0,0,0.0,2.0,1,3,1
184,0,0,2,28.82793046746535,0,0,2.0,1720.0,0,6,1
185,1,1,1,19.0,1,0,0.0,0.0,0,3,0
186,1,1,2,24.0,0,0,0.0,0.0,1,5,0
187,2,0,0,29.0,1,0,902.0,1.0,0,1,0
188,2,1,0,11.0,0,0,0.0,0.0,0,1,0
189,2,0,0,17.0,1,0,848.0,0.0,1,1,0
190,1,0,0,13.0,1,0,192.0,0.0,1,4,0
191,1,0,0,35.0,1,0,147.0,188.0,1,1,0
192,1,0,0,21.0,1,0,367.0,281.0,1,1,0
193,1,0,2,21.0,1,0,0.0,56.0,1,1,1
194,1,0,0,38.0,1,0,1517.0,0.0,0,1,0
195,1,1,0,19.0,1,0,0.0,0.0,1,3,0
196,1,1,0,2.0,1,0,0.0,0.0,1,3,0
197,1,0,0,0.0,0,0,0.0,0.0,0,3,0
198,1,1,0,13.0,1,0,0.0,0.0,0,3,0
199,1,0,0,25.0,1,0,122.0,84.0,0,4,0
200,1,0,0,16.0,0,0,0.0,3.0,0,1,0
201,1,0,2,1.0,1,0,0.0,0.0,1,3,0
202,1,1,0,15.0,1,0,0.0,0.0,1,3,0
203,2,0,2,21.0,0,0,2237.0,0.0,1,4,1
204,2,0,0,23.0,1,0,1215.0,80.0,1,4,1
205,2,0,0,33.0,0,0,1933.0,12.0,0,4,1
206,2,1,0,21.0,1,0,0.0,0.0,0,4,1
207,2,0,0,41.0,1,0,1230.0,0.0,1,4,1
208,2,0,0,16.0,1,0,915.0,0.0,1,4,1
209,2,1,0,42.0,0,0,0.0,0.0,0,4,1
210,2,0,0,20.0,0,0,1406.0,0.0,1,1,1
211,2,1,0,24.0,1,0,0.0,0.0,1,1,1
212,2,1,0,16.0,1,0,0.0,0.0,1,4,1
213,1,0,0,21.0,1,0,0.0,2.0,0,3,1
214,2,0,0,32.0,1,1,181.0,0.0,0,1,1
215,1,1,1,58.0,0,0,0.0,0.0,0,3,0
216,1,0,0,24.0,1,0,4.0,7.0,1,1,1
217,2,0,0,30.0,1,0,85.0,0.0,0,1,1
218,1,1,1,27.0,1,0,0.0,458.07720329024676,1,3,1
219,2,0,0,32.0,1,0,56.0,0.0,1,1,1
220,1,0,0,43.0,1,0,224.687617481203,888.0,1,1,0
221,0,1,0,42.0,0,0,0.0,0.0,1,0,0
222,2,0,0,37.0,0,0,637.0,0.0,1,1,1
223,2,1,0,35.0,0,0,0.0,0.0,1,1,0
224,0,0,2,33.0,1,0,0.0,1249.0,0,4,0
225,1,0,0,18.0,0,0,313.0,1.0,1,1,1
226,1,1,0,21.0,1,0,0.0,0.0,1,3,1
227,2,1,0,43.0,0,0,0.0,0.0,0,1,1
228,2,1,2,14.0,0,0,0.0,0.0,1,1,1
229,0,0,2,46.0,0,0,0.0,3571.0,1,6,0
230,0,0,0,33.0,1,0,0.0,86.0,1,6,0
231,2,0,0,21.0,1,0,2947.0,0.0,0,5,0
232,0,0,0,33.0,1,0,0.0,1.0,1,6,1
233,1,1,1,47.0,1,0,224.687617481203,0.0,0,3,1
234,1,1,2,54.0,0,0,0.0,0.0,1,6,1
235,1,0,0,30.0,0,0,335.0,695.0,1,1,0
236,1,0,0,29.0,1,0,272.0,615.0,0,3,0
237,1,0,0,21.0,1,0,702.0,172.0,1,1,0
238,0,1,0,24.0,1,0,0.0,0.0,0,2,1
239,2,0,2,21.0,1,0,1664.0,0.0,1,1,1
240,2,1,0,60.0,1,0,0.0,0.0,0,1,1
241,1,0,0,22.0,1,0,0.0,0.0,1,1,1
242,0,0,0,26.0,0,0,0.0,4810.0,1,4,1
243,1,0,0,26.0,0,0,66.0,29.0,0,1,0
244,1,1,0,28.0,1,0,0.0,0.0,1,3,0
245,0,1,0,39.0,1,0,0.0,0.0,1,5,1
246,1,0,0,13.0,1,0,118.0,0.0,1,1,1
247,1,0,2,47.0,0,0,0.0,231.0,1,1,1
248,1,0,0,63.0,0,0,0.0,25.0,1,1,0
249,0,1,2,28.82793046746535,1,0,0.0,0.0,0,5,1
250,1,0,2,50.0,1,0,44.0,2390.0,1,1,0
251,1,0,0,35.0,1,0,0.0,0.0,0,1,1
252,1,0,0,45.0,1,0,0.0,97.0,1,3,0
253,1,0,0,19.0,0,0,0.0,0.0,1,1,0
254,1,0,0,21.0,1,0,0.0,918.0,1,1,1
255,1,1,1,29.0,1,0,0.0,0.0,1,3,0
256,1,0,0,22.0,1,0,146.0,654.0,1,1,0
257,0,1,0,14.0,0,0,0.0,0.0,1,4,0
258,0,1,2,42.0,0,0,0.0,0.0,1,4,0
259,1,0,2,57.0,0,0,3.0,1281.0,1,1,0
260,0,1,2,39.0,1,0,0.0,0.0,0,1,1
261,0,0,0,28.0,1,0,0.0,587.0,0,0,0
262,1,0,2,19.0,0,0,0.0,0.0,1,1,1
263,0,1,2,19.0,0,0,0.0,0.0,0,6,1
264,0,0,2,26.0,1,0,0.0,4458.0,0,0,1
265,0,1,0,17.0,0,0,0.0,0.0,1,0,1
266,0,0,0,43.0,0,0,0.0,0.0,1,0,1
267,0,0,2,9.0,0,0,0.0,0.0,1,0,1
268,0,0,0,40.0,0,0,0.0,6500.0,0,5,1
269,0,1,0,50.0,1,0,0.0,0.0,1,0,1
270,1,0,0,24.0,0,0,90.0,2.0,0,3,0
271,0,1,2,57.0,0,0,0.0,0.0,1,2,0
272,1,1,0,16.0,0,0,0.0,0.0,1,1,1
273,1,0,0,23.0,0,0,0.0,0.0,0,1,0
274,1,1,0,23.0,1,0,0.0,0.0,0,3,1
275,0,0,0,28.0,1,0,0.0,422.0,1,4,1
276,0,0,2,23.0,0,0,0.0,584.0,1,6,0
277,1,0,0,23.0,0,0,368.0,175.0,1,4,1
278,1,0,0,18.0,0,0,0.0,0.0,0,1,1
279,1,0,0,18.0,1,0,1194.0,0.0,1,1,1
280,0,0,0,67.0,1,0,224.687617481203,230.0,1,1,1
281,1,0,1,60.0,1,0,7.0,540.0,0,1,0
282,1,1,2,28.82793046746535,1,0,0.0,0.0,0,3,0
283,1,0,2,49.0,0,0,331.0,0.0,1,1,0
284,1,0,2,0.0,0,0,0.0,0.0,1,3,0
285,1,0,2,26.0,1,0,386.0,0.0,1,3,0
286,1,1,1,35.0,1,0,0.0,0.0,1,3,1
287,0,0,0,24.0,1,0,0.0,2628.0,1,0,1
288,0,1,0,20.0,1,0,0.0,0.0,1,0,1
289,1,0,0,18.0,1,0,0.0,2.0,1,3,1
290,1,0,0,21.0,1,0,0.0,5.0,0,3,1
291,1,0,0,59.0,1,1,1018.0,0.0,0,1,1
292,1,1,1,13.0,1,0,0.0,0.0,0,3,1
293,1,1,2,43.0,1,0,0.0,0.0,1,3,0
294,1,1,0,29.0,1,0,0.0,0.0,0,3,1
295,1,0,0,19.0,0,0,17.0,0.0,0,1,1
296,0,0,0,2.0,0,0,0.0,0.0,1,6,1
297,0,0,0,32.0,0,0,247.0,4651.0,1,6,1
298,0,0,0,33.0,1,0,443.0,317.0,1,6,1
299,1,0,0,25.0,1,0,0.0,0.0,1,1,0
300,2,1,2,29.0,1,0,0.0,0.0,0,1,0
301,2,0,0,29.0,0,0,5715.0,2.0,0,1,1
302,1,0,0,44.0,1,0,695.0,1.0,1,1,0
303,2,1,2,2.0,1,0,0.0,0.0,0,1,1
304,2,0,0,19.0,0,0,417.0,349.0,1,1,1
305,2,0,2,0.0,0,0,0.0,0.0,0,1,1
306,1,1,0,18.0,1,0,0.0,0.0,1,3,1
307,0,1,2,38.0,1,0,0.0,0.0,0,0,1
308,1,1,1,5.0,0,0,0.0,0.0,1,3,0
309,1,0,1,31.0,1,0,121.0,0.0,1,1,0
310,2,1,0,30.0,0,0,0.0,0.0,1,4,1
311,1,1,2,15.0,1,0,0.0,0.0,0,3,0
312,2,0,0,27.0,1,0,434.0,0.0,0,1,1
313,2,0,0,22.0,0,0,142.0,2876.0,1,5,0
314,2,0,0,36.0,1,0,520.0,0.0,1,1,1
315,1,1,1,14.0,0,0,0.0,0.0,0,3,0
316,2,0,0,23.0,1,0,2001.0,0.0,1,1,0
317,1,1,0,18.0,0,0,0.0,0.0,1,1,1
318,0,1,2,36.0,0,0,0.0,0.0,1,0,0
319,1,0,0,41.0,0,0,224.687617481203,1198.0,1,1,1
320,1,1,0,50.0,1,0,0.0,0.0,1,3,1
321,1,1,1,32.0,0,0,0.0,0.0,1,3,1
322,1,0,1,26.0,1,0,148.0,0.0,1,1,1
323,1,0,0,15.0,1,0,358.0,212.0,1,1,1
324,1,0,2,33.0,1,0,0.0,36.0,1,1,1
325,1,0,2,28.82793046746535,1,0,0.0,0.0,1,3,1
326,2,0,0,26.0,1,0,2832.0,107.0,0,1,0
327,2,1,0,61.0,1,0,0.0,0.0,1,1,0
328,1,0,0,24.0,1,0,0.0,0.0,1,3,1
329,1,0,0,30.0,0,0,0.0,95.0,0,1,0
330,2,1,0,24.0,0,0,0.0,0.0,1,1,0
331,1,0,0,24.0,1,0,0.0,5.0,0,1,0
332,1,1,0,41.0,1,0,0.0,0.0,1,3,0
333,1,0,0,20.0,1,0,0.0,0.0,0,4,0
334,1,0,0,22.0,0,0,116.0,0.0,1,3,1
335,0,0,2,63.0,1,0,0.0,1068.0,1,6,1
336,0,0,2,18.0,0,0,17.0,215.0,1,0,1
337,0,1,2,21.0,1,0,0.0,0.0,1,0,1
338,0,0,0,79.0,0,0,5649.0,235.0,0,0,1
339,0,1,0,56.0,0,0,0.0,0.0,1,0,1
340,0,1,0,13.0,0,0,0.0,0.0,0,0,1
341,0,0,0,33.0,1,0,0.0,2491.0,1,0,1
342,0,1,0,32.0,0,0,0.0,0.0,0,0,1
343,1,0,0,31.0,1,0,198.0,0.0,1,3,0
344,0,1,2,26.0,1,0,0.0,0.0,1,1,1
345,0,1,2,18.0,0,0,0.0,0.0,1,0,0
346,0,1,2,38.0,0,0,0.0,0.0,0,0,0
347,1,0,0,23.0,0,0,348.0,0.0,1,3,0
348,1,0,0,28.0,1,0,82.0,773.0,1,3,1
349,1,1,1,34.0,0,0,0.0,0.0,1,3,1
350,1,0,2,0.0,0,0,0.0,0.0,1,3,1
351,1,0,0,14.0,1,0,3.0,0.0,0,3,1
352,1,0,0,23.0,1,0,13.0,747.0,1,3,0
353,1,1,0,49.0,1,0,0.0,0.0,1,3,0
354,1,1,0,14.0,0,0,0.0,0.0,1,3,1
355,1,0,0,18.0,0,0,391.0,44.0,1,4,0
356,0,0,1,27.0,1,1,69.0,5728.0,1,6,0
357,1,0,0,48.0,0,0,0.0,111.0,1,4,0
358,0,0,2,31.0,1,1,0.0,11003.0,1,0,0
359,0,0,2,61.0,1,0,1.0,608.0,1,0,0
360,1,1,0,18.0,0,0,0.0,0.0,0,3,1
361,2,1,0,45.0,1,0,0.0,0.0,1,1,1
362,2,0,0,22.0,1,0,28.0,420.0,1,5,1
363,2,0,0,30.0,0,1,1056.0,0.0,1,5,1
364,2,0,0,30.0,1,0,1770.0,0.0,1,5,1
365,1,1,2,32.0,1,1,0.0,0.0,1,5,1
366,2,0,0,43.0,0,1,353.0,896.0,1,5,0
367,1,0,2,17.0,1,0,177.0,458.07720329024676,1,1,0
368,1,0,0,23.0,0,0,224.687617481203,21.0,1,3,0
369,1,0,0,20.0,1,0,0.0,465.0,0,1,0
370,1,1,0,39.0,0,0,0.0,0.0,1,3,0
371,2,0,0,35.0,0,0,1134.0,113.0,1,4,0
372,2,0,0,31.0,1,0,0.0,0.0,1,1,1
373,1,0,2,21.0,0,0,0.0,150.0,0,1,1
374,1,0,0,16.0,0,0,691.0,0.0,1,1,0
375,0,0,0,60.0,0,0,0.0,7255.0,1,6,0
376,1,0,0,18.0,1,0,0.0,157.0,1,1,0
377,1,1,0,42.0,0,0,0.0,0.0,1,3,1
378,0,1,2,68.0,1,0,0.0,0.0,1,0,0
379,0,0,2,22.0,0,0,0.0,1170.0,1,0,0
380,0,1,0,59.0,1,0,0.0,0.0,1,0,0
381,0,0,0,28.82793046746535,1,0,8.0,3584.0,1,0,0
382,2,0,0,37.0,1,0,1094.0,2.0,0,1,0
383,2,1,0,3.0,1,0,0.0,0.0,1,1,0
384,2,1,0,31.0,0,0,0.0,0.0,0,1,0
385,0,0,0,31.0,1,0,417.0,458.07720329024676,1,4,0
386,0,0,0,29.0,1,0,0.0,4118.0,0,6,1
387,0,0,2,20.0,0,0,2.0,10116.0,1,2,1
388,0,1,2,46.0,0,0,0.0,0.0,1,2,1
389,1,0,0,29.0,1,0,0.0,1026.0,1,1,1
390,2,1,0,43.0,1,0,0.0,0.0,1,1,0
391,2,0,0,17.0,0,0,1483.0,10.0,1,1,1
392,0,0,2,27.0,0,0,0.0,0.0,1,0,0
393,0,0,0,47.0,1,0,4.0,891.0,1,0,0
394,2,1,0,45.0,0,0,0.0,0.0,0,1,1
395,1,1,0,17.0,1,0,0.0,0.0,1,3,1
396,1,0,2,10.0,0,0,0.0,0.0,1,3,1
397,1,0,1,56.0,0,0,46.0,11.0,1,3,1
398,1,0,0,39.0,1,0,382.0,0.0,0,1,1
399,1,0,1,40.0,0,0,7.0,0.0,1,1,1
400,0,1,0,40.0,0,0,224.687617481203,0.0,0,0,1
401,0,0,2,34.0,1,0,224.687617481203,5637.0,0,6,0
402,1,0,2,32.0,0,0,0.0,0.0,1,1,1
403,1,0,0,35.0,0,0,7.0,1043.0,0,1,0
404,2,0,0,32.0,1,1,2484.0,429.0,1,5,0
405,1,0,0,26.0,1,1,1869.0,0.0,0,1,0
406,1,0,0,25.0,1,0,1352.0,0.0,0,1,1
407,1,0,0,26.0,1,0,0.0,0.0,1,4,1
408,0,1,2,22.0,0,0,0.0,0.0,1,0,0
409,1,0,0,22.0,1,0,9.0,0.0,1,1,1
410,1,0,0,24.0,1,0,757.0,0.0,1,4,0
411,1,1,1,32.0,1,0,0.0,0.0,1,3,0
412,1,1,0,11.0,0,0,0.0,0.0,1,3,1
413,2,1,0,22.0,1,0,0.0,0.0,1,4,1
414,0,1,0,19.0,0,0,0.0,0.0,0,0,1
415,0,1,2,34.0,0,0,0.0,0.0,1,1,1
416,0,1,0,74.0,1,0,0.0,0.0,0,0,1
417,0,0,2,28.0,1,1,5.0,4288.0,1,0,1
418,0,1,0,42.0,0,0,0.0,0.0,1,0,1
419,0,1,0,43.0,1,0,0.0,0.0,1,0,1
420,1,0,0,55.0,0,0,210.0,185.0,1,1,1
421,1,0,1,19.0,1,0,0.0,0.0,1,3,0
422,1,1,0,6.0,1,0,0.0,0.0,1,3,0
423,1,0,0,7.0,0,0,0.0,0.0,1,3,0
424,0,1,2,28.0,1,0,0.0,0.0,1,5,1
425,1,0,0,15.0,0,0,2156.0,0.0,0,1,1
426,1,1,1,24.0,1,0,0.0,0.0,1,3,1
427,1,0,1,31.0,0,0,0.0,869.0,0,4,1
428,1,0,0,22.0,1,0,0.0,70.0,1,1,1
429,1,0,2,1.0,0,0,0.0,0.0,1,3,1
430,1,1,0,50.0,1,0,0.0,0.0,0,3,1
431,2,0,0,34.0,1,0,865.0,0.0,0,1,0
432,2,0,0,14.0,0,0,928.0,852.0,0,1,0
433,1,0,0,19.0,0,0,4.0,10.0,1,4,0
434,1,0,0,28.82793046746535,0,0,0.0,654.0,1,4,0
435,1,0,0,36.0,1,0,0.0,0.0,1,1,0
436,1,1,0,34.0,0,0,0.0,0.0,1,1,1
437,2,1,2,25.0,1,0,0.0,0.0,1,1,1
438,1,1,0,36.0,0,0,0.0,0.0,0,1,1
439,0,0,0,16.0,1,0,0.0,45.0,0,0,0
440,0,0,2,30.0,1,0,0.0,7972.0,1,0,0
441,1,0,1,37.0,0,0,0.0,10.0,1,1,1
442,1,1,2,15.0,1,0,0.0,0.0,1,3,1
443,1,0,0,36.0,0,0,0.0,0.0,1,4,0
444,2,0,1,27.0,1,0,224.687617481203,6.0,0,1,0
445,2,1,0,27.0,1,0,0.0,0.0,0,1,0
446,2,1,0,12.0,0,0,0.0,0.0,1,1,0
447,1,0,0,22.0,0,0,0.0,5.0,1,4,0
448,1,0,0,27.0,1,0,224.687617481203,34.0,0,3,0
449,1,1,0,13.0,0,0,0.0,0.0,1,3,1
450,1,0,0,27.0,1,0,0.0,118.0,0,4,1
451,1,0,0,28.0,0,0,0.0,14.0,0,1,1
452,0,0,2,21.0,1,0,0.0,33.0,1,0,1
453,0,0,0,39.0,0,0,172.0,1794.0,0,6,1
454,1,1,1,28.0,1,0,0.0,0.0,1,3,0
455,1,1,0,14.0,0,0,0.0,0.0,0,3,1
